"","type","year.of.prohibition","country","country_code","total.number.of.bans"
"1","CP Ban",2025,"Switzerland","CHE",70
"2","CP Ban",2025,"Czech Republic","CZE",69
"3","CP Ban",2025,"Thailand","THA",68
"4","CP Ban",2024,"Tajikistan","TJK",67
"5","CP Ban",2024,"Lao PDR","LAO",66
"6","CP Ban",2022,"Mauritius","MUS",65
"7","CP Ban",2022,"Zambia","ZMB",64
"8","CP Ban",2021,"Colombia","COL",63
"9","CP Ban",2021,"Korea","KOR",62
"10","CP Ban",2021,"Guinea","GIN",61
"11","CP Ban",2020,"Seychelles","SYC",60
"12","CP Ban",2019,"Japan","JPN",59
"13","CP Ban",2019,"Georgia","GEO",58
"14","CP Ban",2019,"South Africa","ZAF",57
"15","CP Ban",2019,"France","FRA",56
"16","CP Ban",2019,"Kosovo","RKS",55
"17","CP Ban",2018,"Nepal","NPL",54
"18","CP Ban",2016,"Montenegro","MNE",53
"19","CP Ban",2017,"Lithuania","LTU",52
"20","CP Ban",2016,"Slovenia","SVN",51
"21","CP Ban",2016,"Paraguay","PRY",50
"22","CP Ban",2016,"Mongolia","MNG",49
"23","CP Ban",2015,"Peru","PER",48
"24","CP Ban",2015,"Ireland","IRL",47
"25","CP Ban",2015,"Benin","BEN",46
"26","CP Ban",2015,"Andorra","AND",45
"27","CP Ban",2014,"Nicaragua","NIC",44
"28","CP Ban",2014,"Estonia","EST",43
"29","CP Ban",2014,"San Marino","SMR",42
"30","CP Ban",2014,"Argentina","ARG",41
"31","CP Ban",2014,"Cape Verde","CPV",40
"32","CP Ban",2014,"Bolivia","BOL",39
"33","CP Ban",2014,"Brazil","BRA",38
"34","CP Ban",2014,"Malta","MLT",37
"35","CP Ban",2013,"Honduras","HND",36
"36","CP Ban",2013,"Macedonia","MKD",35
"37","CP Ban",2011,"South Sudan","SSD",34
"38","CP Ban",2010,"Albania","ALB",33
"39","CP Ban",2010,"Congo","COG",32
"40","CP Ban",2010,"Kenya","KEN",31
"41","CP Ban",2010,"Tunisia","TUN",30
"42","CP Ban",2010,"Poland","POL",29
"43","CP Ban",2008,"Liechtenstein","LIE",28
"44","CP Ban",2008,"Luxembourg","LUX",27
"45","CP Ban",2008,"Moldova","MDA",26
"46","CP Ban",2008,"Costa Rica","CRI",25
"47","CP Ban",2007,"Togo","TGO",24
"48","CP Ban",2007,"Spain","ESP",23
"49","CP Ban",2007,"Venezuela","VEN",22
"50","CP Ban",2007,"Uruguay","URY",21
"51","CP Ban",2007,"Portugal","PRT",20
"52","CP Ban",2007,"New Zealand","NZL",19
"53","CP Ban",2007,"Netherlands","NLD",18
"54","CP Ban",2006,"Greece","GRC",17
"55","CP Ban",2005,"Hungary","HUN",16
"56","CP Ban",2004,"Romania","ROU",15
"57","CP Ban",2004,"Ukraine","UKR",14
"58","CP Ban",2003,"Iceland","ISL",13
"59","CP Ban",2002,"Turkmenistan","TKM",12
"60","CP Ban",2000,"Germany","DEU",11
"61","CP Ban",2000,"Israel","ISR",10
"62","CP Ban",2000,"Bulgaria","BGR",9
"63","CP Ban",1999,"Croatia","HRV",8
"64","CP Ban",1998,"Latvia","LVA",7
"65","CP Ban",1997,"Denmark","DNK",6
"66","CP Ban",1994,"Cyprus","CYP",5
"67","CP Ban",1989,"Austria","AUT",4
"68","CP Ban",1987,"Norway","NOR",3
"69","CP Ban",1983,"Finland","FIN",2
"70","CP Ban",1979,"Sweden","SWE",1
